lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QVS000008TyoK2AS,1699997,2024-08-16,0,3,7168,,2017.0,2188,3548,0,,0.62,Distant (> 2yr)
00QVS000008TyoL2AS,4769864,2024-07-08,0,3,6072,,1229.0,1229,1229,0,,1.0,Distant (> 2yr)
00QVS000008Tyof2AC,4954899,2024-07-08,0,3,5011,,949.3333333333334,1058,732,0,,1.45,Distant (> 2yr)
00QVS000008Tyoi2AC,4814539,2024-07-08,0,3,4757,,407.0,407,407,0,,1.0,Distant (> 2yr)
00QVS000008Tyov2AC,1946053,2024-07-08,0,3,4360,,1658.0,1295,2384,0,,0.54,Distant (> 2yr)
00QVS000008TypF2AS,2547864,2024-07-08,0,3,5087,,1055.0,621,621,0,,1.0,Distant (> 2yr)
00QVS000008TypL2AS,4458965,2024-07-08,0,3,2924,,2025.0,728,4619,0,,0.16,Distant (> 2yr)
00QVS000008TypM2AS,2175206,2024-07-08,0,3,2670,,2922.3333333333335,3486,1795,0,,1.94,Distant (> 2yr)
00QVS000008TypU2AS,2867302,2024-07-08,0,3,4151,,4587.0,5702,5765,0,,0.99,Distant (> 2yr)
00QVS000008Typi2AC,3113495,2024-07-08,0,3,6307,,2883.0,2357,2357,0,,1.0,Distant (> 2yr)
00QVS000008Typj2AC,4376850,2024-07-08,0,3,1195,,6780.0,6558,7224,0,,0.91,Distant (> 2yr)
00QVS000008Typy2AC,5236612,2024-08-16,0,3,3480,,1446.0,1665,1239,0,,1.34,Distant (> 2yr)
00QVS000008Typz2AC,6222602,2024-07-15,0,3,-294,4046,,3687,4046,0,,0.91,Very Recent (< 6mo)
00QVS000008Tytp2AC,4974757,2024-07-15,0,3,6216,,1752.6666666666667,738,4285,0,,0.17,Distant (> 2yr)
00QVS000008Tytv2AC,5842271,2024-08-16,0,3,1897,,1180.3333333333333,1431,1598,0,,0.9,Distant (> 2yr)
00QVS000008Tytw2AC,4958679,2024-07-16,0,3,1195,,4238.0,3529,5656,0,,0.62,Distant (> 2yr)
00QVS000008Tyu42AC,4961409,2024-07-15,0,3,3818,,1185.0,2678,41,0,,65.32,Distant (> 2yr)
00QVS000008Tyu62AC,5514367,2024-07-15,0,3,2733,,1221.6666666666667,1729,1136,0,,1.52,Distant (> 2yr)
00QVS000008TyuU2AS,2703854,2024-07-15,0,3,-417,6573,983.0,6573,983,0,6.69,6.69,Very Recent (< 6mo)
00QVS000008TyuV2AS,4648931,2024-07-15,0,3,-417,6762,,1476,6762,0,,0.22,Very Recent (< 6mo)
00QVS000008Tyud2AC,4841551,2024-07-16,0,3,6153,,824.0,824,824,0,,1.0,Distant (> 2yr)
00QVS000008TyvL2AS,711192,2024-07-16,0,3,7432,,1496.6666666666665,225,225,0,,1.0,Distant (> 2yr)
00QVS000008TyvX2AS,2910449,2024-07-16,0,3,179,,5907.0,9375,233,2,,40.24,Very Recent (< 6mo)
00QVS000008Tyvh2AC,4216156,2024-07-16,0,3,2083,,1005.3333333333333,997,293,1,,3.4,Distant (> 2yr)
00QVS000008Tyw12AC,4387495,2024-07-17,0,3,3779,,707.3333333333334,944,245,0,,3.85,Distant (> 2yr)
00QVS000008Tyw42AC,4396578,2024-07-17,0,3,7467,,669.6666666666666,919,919,0,,1.0,Distant (> 2yr)
00QVS000008Tyw72AC,5274836,2024-07-17,0,3,2801,,2263.0,1644,3501,0,,0.47,Distant (> 2yr)
00QVS000008TywJ2AS,5882437,2024-07-17,1,3,1948,1567,1486.5,2628,345,0,1.05,7.62,Distant (> 2yr)
00QVS000008TywK2AS,6019473,2024-07-17,0,3,1903,1531,1244.0,1249,1239,0,1.23,1.01,Distant (> 2yr)
00QVS000008TywN2AS,4530567,2024-07-17,0,3,3190,,4643.0,4643,4643,0,,1.0,Distant (> 2yr)
00QVS000008Tz0Q2AS,5289122,2024-07-01,0,3,4834,,1025.0,1025,1025,0,,1.0,Distant (> 2yr)
00QVS000008Tz0U2AS,5740481,2024-07-13,0,3,2518,,1517.6666666666667,885,1590,1,,0.56,Distant (> 2yr)
00QVS000008Tz0V2AS,5974291,2024-07-13,0,3,2518,,1361.0,885,1120,1,,0.79,Distant (> 2yr)
00QVS000008Tz0n2AC,5380689,2024-07-01,0,3,5193,,799.0,769,859,0,,0.9,Distant (> 2yr)
00QVS000008Tz222AC,719578,2024-07-23,0,3,4249,,1011.6666666666667,2542,146,0,,17.41,Distant (> 2yr)
00QVS000008Tz2W2AS,4863458,2024-07-23,0,3,5118,,2188.3333333333335,1277,2055,0,,0.62,Distant (> 2yr)
00QVS000008Tz2m2AC,4587905,2024-07-23,0,3,4142,3877,1481.0,1875,1087,0,2.62,1.72,Distant (> 2yr)
00QVS000008Tz2q2AC,4133270,2024-07-30,0,3,1918,,4025.666666666667,6866,37,0,,185.57,Distant (> 2yr)
00QVS000008Tz2z2AC,4888560,2024-07-23,0,3,6083,,414.0,405,432,0,,0.94,Distant (> 2yr)
00QVS000008Tz312AC,5018295,2024-07-30,0,3,5753,,603.3333333333334,218,218,0,,1.0,Distant (> 2yr)
